lh,rh,ls,rs,w,ll,rl
62.9,67.1,985.68,1328.88,130,119,180
62.3,71.6,794.76,1801.24,135,119.8,180
63.3,73.3,626.64,2018.8,138,120.2,175.3333333
60.1,76,475.2,519.4,137,117.2,178.6666667
64.4,77.9,464.4,1689.52,139,119.4,178
64.5,79.2,423.84,1471.96,136,118.6,176
66.5,78.6,449.64,1156.4,134,118,177.6666667
64.5,80.7,550.32,1685.6,134,119.8,178
62.5,79.8,625.56,1897.28,134,121.6,177
60.8,78.3,822.12,1456.28,131,120.6,178.6666667
59.8,77,1306.68,1654.24,131,120.8,177
57.7,75,1313.52,1119.16,129,118.8,177
58.2,75.4,1558.32,1068.2,128,118.4,177.3333333
60,74.4,1861.56,972.16,127,118,179
63.3,74.5,2218.08,1630.72,128,119.4,174.6666667
61.6,75.8,2219.04,341.04,124,116.4,177.6666667
61.8,77.2,2135.76,1603.28,126,118.6,176.3333333
59.1,82.8,2407.44,1019.2,125,117.8,175
57.7,79.9,2420.52,932.96,123,117,177
56.3,76.9,2471.52,1448.44,125,118.2,177
54.6,77.6,2501.28,1499.4,124,118.2,176.6666667
52.7,74.9,2498.64,1093.68,125,118.4,176
52.3,72.8,2492.04,934.92,126,118.8,174.6666667
53.3,72.9,2464.44,676.2,127,118.2,174.6666667
52.9,70.1,2459.76,70,130,118.6,176.3333333
53.5,69.9,2505.12,2161.88,133,119.8,171.6666667
51.9,67.6,2412.72,795.76,133,116.2,176
53.6,68.1,2495.16,2169.72,139,118.8,176.3333333
53.8,67.4,2501.28,2263.8,144,118.6,175.6666667
53.7,66,2457.36,1548.4,147,117,175
54.8,65.6,2462.16,1654.24,149,116.8,176.3333333
56.4,66.2,2508.6,2424.52,152,118,176
57.1,65.9,2510.16,2481.36,153,117.8,175
58,65.2,2494.8,2234.4,153,117.2,175
59.7,65.1,2501.88,2344.16,155,117.2,173.6666667
58.6,64.3,2474.88,1885.52,152,116,173.3333333
57.1,64,2470.08,1824.76,151,115.6,175.3333333
55.9,65.2,2511.72,2506.84,149,116.6,174.6666667
54.5,65.7,2510.04,2483.32,148,116.6,173.3333333
53.3,66,2491.32,2032.52,145,115.8,173
52.4,66.3,2493.12,1895.32,144,115.6,171.6666667
