lh,rh,ls,rs,w,ll,rl
100.9,181.1,2426.8,2417.12,152,139.4,119.9
94.4,173.1,2465.68,2466.16,176,141.2,121.9
87.9,161.1,2465.28,2466,179,140.4,118.8
83.8,147.9,2451.44,2452.16,191,139.6,121
80.3,138.4,2445.2,2446,185,139.4,119.2
78,132.8,2442.32,2426.72,176,140.2,117.7
76.8,129.1,2437.12,2417.28,173,139.6,116.7
77.5,128,2466.64,2447.44,158,140.8,117.8
77.3,126.9,2468.32,2452.16,152,141,113.7
77.2,125.9,2463.6,2456.32,143,140.2,111.7
76.6,124.6,2443.84,2432.56,140,138.6,109.6
76,124,2438.96,2429.12,152,138.2,109.9
76.1,123.6,2439.44,2426.08,164,138,106.6
76.9,124.8,2469.52,2453.92,179,139.4,106.1
75,121.1,2404,2388.16,173,135.6,102.1
77.7,124,2462.24,2448.24,200,138.4,103.7
77.7,123.7,2459.6,2444.48,233,138,103.2
74.8,122.8,2438.48,2421.44,281,136.4,102.1
72.9,123.1,2425.04,2409.68,329,135.4,101.3
73.6,126.9,2470.96,2452.8,404,138,103.7
74.7,129.9,2471.28,2453.44,491,138,106.2
75.7,136.2,2459.84,2440.56,536,138.2,108.1
76.7,144.2,2458.56,2438,599,138,109.9
86.9,163.5,2430.24,2417.28,590,137,111.9
97.8,182.4,2444.32,2444.88,569,137.4,113.2
106.6,203.3,2468.56,2469.04,629,139.8,120.3
129.8,232.4,2469.76,2470.24,662,140.6,121.1
149.3,274.8,2458.8,2459.44,698,139,115.9
187.6,347,2431.12,2431.68,689,136.8,120.5
217.5,411.9,2431.12,2436.88,707,137.2,126.8
244.6,452.2,2439.28,2445.28,728,138,130.7
276.1,484.3,2465.04,2470.48,761,140,130.9
270.6,482.8,2464.8,2471.04,800,139.8,124.1
283.4,472.4,2460.08,2466,881,139,128
311.6,489.4,2450.8,2455.44,962,139,123.5
342.7,520.6,2421.2,2438.32,1001,138.4,115.4
343.4,520.1,2400.32,2437.44,1022,137.8,113.1
325.5,537,2379.12,2458.32,1043,138.4,111.7
321.1,529.5,2336.08,2451.52,1004,137.6,108.6
326.9,456.4,2349.28,2455.68,1022,137.2,110.6
362.3,398.6,2317.92,2446.64,1043,137.4,108.1
412.4,367.8,2260.32,2418.64,1064,136.8,104.5
448.9,385.7,2292.8,2438.64,1097,137,103.8
483.3,513.1,2265.76,2460.64,1121,137.4,103.4
492.1,555.1,2261.84,2452.64,1121,136.4,102
517.6,568.9,2242.96,2445.2,1097,135.4,100.2
504.4,560.6,2191.76,2437.6,1019,135,99.3
478.7,513.2,2208.4,2427.92,974,134.2,101
451.2,482.9,2213.76,2435.04,944,134.8,100.2
418.8,443,2099.6,2390.56,914,133,99.8
438.2,442.7,2158.16,2454.96,902,137,111.1
431.3,445,2121.76,2424.48,875,137.2,115.8
430.2,428.5,2190.16,2440.32,854,140.6,119.3
410,394.7,2184.72,2415.84,956,140.2,113.6
371.3,363.3,2185.84,2407.2,1058,139.4,111.5
336.8,348.1,2212.24,2388.16,1082,137,110.5
303.9,336.7,2207.84,2386.24,1049,136.2,110.7
273,327.8,2309.76,2447.04,980,138.8,112.4
233.6,308.8,2353.44,2429.6,869,138.4,110.8
200.2,288.9,2307.36,2410.56,770,136.6,109.8
180.8,282.3,2343.04,2441.2,701,137.6,111.4
166.8,274.1,2395.04,2461.2,653,139,115.6
158.9,267.5,2368.8,2448.88,578,139.4,122
155.9,264.9,2378.32,2447.28,518,138.6,118.9
152.7,259.1,2381.76,2449.76,455,137.6,115.9
148.4,249.1,2387.68,2421.92,386,135.8,113.4
144.5,244.9,2432.8,2448.96,344,137.2,113.2
138.3,233,2420.4,2429.28,302,136,112.2
132.6,223.9,2461.44,2460.8,275,136.8,113.3
123.9,211.2,2460.56,2458.64,245,136.6,112.5
115,202,2453.92,2451.12,218,136.2,111.5
108,193.4,2430.64,2427.44,200,135.4,110.6
