lh,rh,ls,rs,w,ll,rl
3666.628,3668.056,2463.52,2409.76,109,117.4,172
3657.108,3658.536,2457.12,2403.52,109,116.4,171
3631.88,3633.189,2440.24,2386.56,108,117.2,172
3661.273,3662.106,2459.92,2407.12,109,115.6,169.6666667
3617.005,3618.314,2430.32,2378.8,107,117.6,172.3333333
3676.029,3677.219,2470,2417.2,109,116.2,170.6666667
3641.995,3641.638,2446.88,2396.24,108,115.8,170
3623.907,3596.299,2437.12,2385.92,107,116.2,170.6666667
3639.734,3218.236,2445.84,2391.36,107,116.8,171.6666667
3505.859,2704.275,2462.56,2406.4,108,117.2,172.3333333
2476.271,1914.948,2473.6,2418,108,117.2,172
2085.713,1018.521,2470.08,2415.44,108,116,170.3333333
1701.938,612.374,2448.96,2395.36,107,115.6,170
618.681,461.72,2438.96,2385.76,108,115.4,170
390.796,399.602,2439.44,2386.32,108,116.6,171.6666667
263.942,359.023,2465.2,2410.16,110,116.8,172
236.81,349.265,2472.24,2420.24,110,116.8,172
219.317,340.816,2469.52,2419.36,110,116.8,172
198.373,321.181,2469.04,2420.96,111,116.2,171
176.596,304.402,2453.76,2410,110,115.4,170
160.65,289.884,2441.6,2398.4,110,116.4,171.3333333
150.773,283.696,2458.24,2413.36,111,117.2,172.3333333
141.491,278.222,2470,2418.16,112,118.2,173.3333333
135.184,276.08,2468.08,2413.52,112,120.2,173.6666667
140.182,281.197,2466.72,2412.4,112,124.2,173
171.598,327.012,2452.88,2398.72,111,125.2,173.3333333
297.738,501.347,2442.72,2391.52,111,126.4,176
622.846,741.489,2467.44,2413.12,112,125.8,176.3333333
1078.735,936.411,2473.36,2418.8,112,125,176
1756.321,1196.664,2471.68,2419.36,112,123.4,173.6666667
2239.699,1681.708,2446.64,2394.72,110,123,173.6666667
2834.937,2379.048,2451.28,2399.6,110,121.8,172.6666667
3243.107,3168.256,2440.32,2388.16,109,123.2,174.6666667
3628.548,3496.101,2469.68,2417.04,110,123,174.6666667
3606.652,3600.345,2470.72,2418.4,110,122.4,174
3664.605,3652.705,2463.76,2412.32,110,121.4,172.6666667
3646.993,3648.064,2450.32,2398.24,109,121,172
3639.377,3640.686,2445.28,2395.6,108,121.2,171.6666667
3637.592,3638.663,2444,2391.52,109,122.8,173.6666667
3679.123,3680.313,2471.92,2420.72,111,122.8,173.6666667
3679.48,3680.908,2472.08,2423.12,111,123,173.6666667
3677.219,3678.647,2470.56,2418.64,111,121.8,173
3665.676,3667.223,2462.88,2420.8,111,120.6,171.6666667
3645.089,3646.636,2448.96,2411.68,111,119.8,171
3638.663,3640.091,2444.72,2396.88,110,120.8,173
3679.599,3681.027,2472.16,2419.12,111,118.4,169.6666667
3620.456,3622.003,2432.56,2379.28,109,118.4,169.3333333
3621.646,3622.836,2433.2,2379.2,109,119.8,171.6666667
3669.008,3670.436,2465.12,2410.24,111,119.4,170.6666667
3647.826,3649.254,2450.88,2395.76,109,120.4,172
3677.933,3678.766,2471.04,2416.16,110,118.4,169.6666667
3632.832,3633.903,2440.88,2387.6,109,119.6,171.6666667
3676.386,3677.338,2470.16,2413.92,110,118.8,171
3661.749,3637.949,2460.24,2405.44,109,118.8,171
3297.133,3419.465,2463.28,2407.84,109,118.2,170.6666667
3623.669,2724.267,2454.56,2399.92,109,117.6,170.6666667
3644.375,2213.4,2449.12,2395.2,109,115.6,168
2356.557,1350.769,2411.92,2358.64,107,115.6,168.3333333
2700.467,787.423,2411.04,2357.36,108,118.2,172.6666667
2074.765,533.596,2470.96,2415.2,111,117.6,171.6666667
877.149,403.291,2460.72,2406.16,110,116.4,170.3333333
396.984,332.248,2442.96,2390.56,109,116.6,170.3333333
253.47,313.327,2450.72,2397.84,109,117.6,172.3333333
218.008,305.949,2473.6,2422.48,110,117.6,172.6666667
204.68,305.473,2473.12,2426.24,110,116.8,171.6666667
203.728,299.285,2460.32,2416.48,110,117,172.3333333
209.083,295.12,2468.32,2425.44,111,116,171
197.659,284.886,2449.76,2402.72,110,116,170.6666667
181.832,273.819,2452.16,2403.84,111,117,172.3333333
166.6,265.727,2473.44,2425.92,112,116.8,172.6666667
156.961,256.564,2472.32,2425.36,111,115.4,170.3333333
