lh,rh,ls,rs,w,ll,rl
117.15,45.75,2440.96,2431.52,374,933.84,955.68
121.978,48.75,2471.04,2461.84,338,1314.96,1572.48
117.789,52.55,2469.36,2459.76,342,2510.16,3125.52
106.429,54.35,2466.4,2455.76,348,2801.04,4914.48
98.619,58.25,2442.88,2432.16,388,4636.32,6126.24
95.282,68.2,2438.8,2427.52,388,5716.32,6532.08
93.72,73.2,2468.72,2458.72,424,6676.08,6865.2
94.004,70.4,2469.28,2458,438,7182.96,7129.2
92.229,65.35,2423.52,2413.84,452,7164.96,7155.84
87.685,62.35,2465.52,2454.24,424,7359.36,7350.96
79.591,59.35,2461.92,2449.68,440,7388.16,7373.52
72.917,56.75,2438.96,2427.28,456,7318.8,7316.16
69.651,57.45,2470.32,2458.72,436,7413.12,7412.16
72.491,65.5,2471.28,2459.28,472,7416.24,7415.76
83.567,73.15,2460.24,2446.24,424,7383.12,7382.64
91.803,75.5,2461.6,2448.48,426,7387.2,7386.96
104.37,76.35,2447.52,2435.44,430,7344.96,7344.96
118.215,74.35,2442.88,2429.28,400,7331.04,7330.8
124.889,73.35,2471.28,2457.92,404,7416.48,7416.48
128.865,73,2467.68,2455.2,396,7405.92,7405.92
118.783,71.05,2459.44,2446.88,366,7380.96,7380.72
109.34,69.9,2457.68,2444.4,356,7375.68,7375.44
105.293,69.05,2456.16,2442.96,374,7371.36,7370.88
101.814,67.6,2444.08,2431.36,356,7334.64,7334.4
100.181,66.8,2470.56,2456.88,322,7414.56,7413.36
97.909,64.4,2469.2,2456.08,298,7410.24,7407.12
95.921,61.9,2457.44,2444.8,306,7374.96,7369.92
91.306,60.05,2462.56,2450.48,320,7390.32,7380.96
84.845,57.85,2443.84,2432,330,7333.92,7291.92
78.739,56.55,2445.44,2435.68,328,7338.72,7174.32
73.201,56.45,2470.72,2461.04,332,7414.32,7194.96
67.876,56.55,2470.08,2460.08,326,7283.28,7071.36
64.61,57.9,2468.64,2459.36,318,7028.88,6772.08
63.119,57.95,2458.8,2448.72,312,7166.64,6496.32
61.77,57.15,2434.16,2424.4,294,5624.88,5780.64
60.421,57.35,2446.32,2435.84,286,4747.92,5083.44
63.119,58.4,2471.2,2460.4,276,4146.48,4270.8
70.432,57.7,2469.28,2459.2,274,3691.2,3332.16
77.958,56.45,2458.24,2448.08,268,2955.84,2919.36
79.804,55.75,2459.44,2448.16,250,1758.72,2665.44
76.254,55.1,2437.52,2428.48,240,1384.08,2361.6
73.556,54.7,2449.44,2439.76,228,1206.24,2222.4
70.574,53.35,2471.6,2460.72,218,1122,2071.44
65.817,49.35,2405.92,2396.56,210,996,1897.2
65.036,47.55,2457.2,2447.2,186,931.68,1774.56
63.261,45.15,2456.16,2446.96,190,868.8,1637.28
59.924,42.55,2427.76,2418.8,188,843.12,1583.04
57.865,41.25,2445.36,2435.92,190,775.2,1509.6
56.303,40.15,2470.24,2461.28,190,730.08,1391.04
53.179,39.3,2468.48,2460,180,673.92,1242.24
49.984,37.95,2458.64,2450.32,168,637.92,1107.6
47.783,37.3,2455.92,2447.2,162,605.76,1001.04
45.795,36.75,2443.68,2435.12,176,562.56,906.24
44.659,36.75,2456.08,2448.32,194,540.72,854.16
42.529,35.7,2403.44,2396,198,504.96,806.16
42.813,36.6,2470.64,2462.88,190,503.28,824.88
42.955,36.4,2461.36,2453.68,206,484.32,799.44
50.765,36.65,2459.12,2451.36,218,463.44,777.84
77.177,36.75,2436.16,2428.56,246,470.64,799.2
103.092,37.85,2457.92,2450.16,250,535.92,760.56
124.818,39.15,2470.4,2462.48,284,540,772.8
142.568,40.2,2411.36,2402.32,344,551.52,802.08
153.928,44.3,2468.24,2457.12,350,671.28,870.96
164.791,49.15,2461.92,2451.52,366,729.12,1022.4
188.008,58.9,2436.88,2427.84,496,965.04,1434.96
205.758,64.3,2462.96,2452.64,450,1706.64,2862.72
201.853,61.4,2470.24,2460.64,484,3199.44,4891.44
176.932,58.45,2457.36,2448.24,438,5138.88,6140.16
155.561,59.25,2466.8,2457.6,440,6439.2,6853.44
134.829,63.45,2453.12,2443.36,458,6998.88,7007.28
118.641,63.35,2436.64,2426,444,7065.36,7141.2
108.914,62.9,2463.68,2452.8,436,7375.2,7353.6
99.471,62.6,2469.68,2458.88,444,7411.44,7410.96
91.732,63.5,2469.44,2459.76,444,7410.96,7409.52
85.484,64.8,2464.72,2455.2,410,7396.56,7395.36
82.502,64.85,2463.44,2453.44,406,7392.72,7392.72
82.218,65.35,2427.12,2417.28,424,7283.76,7283.76
99.258,70.8,2465.2,2454.96,386,7398,7398
105.719,76.75,2470.48,2460.72,406,7414.32,7414.08
115.659,79.9,2464.08,2454.32,400,7395.12,7394.88
128.084,80.25,2463.28,2453.04,392,7392.48,7392.24
122.475,79.5,2464,2453.92,402,7394.64,7394.16
