lh,rh,ls,rs,w,ll,rl,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,13y,14y
2473.3,1613.2,2504.88,2245.6408,122,163.2,162.72,106.456,268.317,274.212,436.175,577.515,259.491,418.403,553.935,562.691,565.563,765.727,977.656,562.637,762.793,960.029
2694.5,2037.1,2500.44,2270.1016,120,161.28,160.8,106.446,268.322,271.432,439.04,577.519,259.548,415.583,553.988,565.597,565.627,765.826,977.583,565.566,765.709,960.048
2909.6,2258.5,2462.28,2018.614,116,161.04,161.04,106.49,268.324,271.426,436.128,577.357,259.527,418.495,553.882,559.745,562.631,765.749,977.706,556.831,765.707,959.987
3057.4,2693.5,2452.44,2056.834,116,161.28,161.04,106.506,268.347,274.195,436.036,577.421,259.549,418.419,553.845,562.672,565.582,765.793,977.672,559.758,762.875,960.042
3090,2892.9,2462.52,2167.672,116,162.72,162.48,106.518,268.355,274.208,436.073,574.551,259.549,421.378,553.787,565.579,568.501,765.821,977.679,562.657,762.837,962.935
3067.5,3045.7,2492.52,2385.526,118,161.28,161.04,106.534,268.363,274.253,433.246,574.472,259.557,415.583,550.922,559.745,562.647,765.726,977.631,559.727,762.88,962.978
3085,3066.9,2463.84,2101.9336,116,162.24,162.24,106.544,268.347,274.295,436.009,574.36,259.472,412.455,550.751,562.678,565.606,768.665,977.749,559.765,765.746,965.847
3075.6,3086.2,2484.6,2162.3212,120,161.52,161.52,106.57,268.391,274.292,433.11,565.617,259.545,409.523,542.043,562.626,562.669,765.778,977.712,559.729,765.726,962.956
3049.8,3076.8,2471.88,2202.8344,118,160.08,160.08,106.586,268.378,274.253,433.102,556.815,262.394,409.547,530.446,562.67,562.683,765.807,977.659,559.751,765.757,962.967
3112.1,3051.1,2444.52,2080.5304,116,163.2,162.96,106.628,268.355,274.229,433.242,553.936,262.383,409.583,527.4,562.673,562.696,765.812,977.699,562.649,765.721,962.989
3088.9,3113.3,2523.12,2516.2384,122,161.76,161.52,106.619,268.359,274.207,430.154,544.958,262.409,412.63,518.507,562.692,562.698,765.798,977.725,562.638,765.676,960.033
3088,3090.2,2492.76,2208.1852,120,161.76,161.52,106.618,268.346,274.209,424.32,530.278,259.545,406.645,503.822,562.697,562.692,765.793,977.708,562.654,765.747,962.946
3076.7,3089.3,2491.92,2287.6828,120,161.28,161.04,109.355,268.347,274.281,412.506,509.742,259.505,403.675,486.216,559.75,562.642,765.765,977.735,556.826,762.854,965.878
